STN,YYYYMMDD,FHVEC,  FHX,   TG,   TN,   TX,    Q,   RH
  260,20160101,   24,   60,   41,   -2,   75,  176,    0
  260,20160102,   56,   60,   54,   46,   63,   86,   33
  260,20160103,   52,   70,   69,   52,   82,  176,   88
  260,20160104,   32,   60,   57,   38,   70,   71,  112
  260,20160105,   29,   50,   68,   47,   77,   90,    3
  260,20160106,   30,   40,   26,   16,   47,  119,    5
  260,20160107,   32,   80,   61,   35,   79,   50,  108
  260,20160108,   37,   70,   54,   14,   83,  369,    0
  260,20160109,   42,   60,   56,   10,   79,  165,    3
  260,20160110,   51,   70,   69,   50,   90,  272,   43
  260,20160111,   31,   50,   48,   21,   67,   73,   19
  260,20160112,   48,   70,   58,   47,   72,  226,  104
  260,20160113,   28,   50,   50,   24,   70,  162,   28
  260,20160114,   42,   70,   35,   16,   53,  121,  134
  260,20160115,   23,   60,   24,  -12,   40,  162,   -1
  260,20160116,   28,   70,   27,  -16,   56,  289,   16
  260,20160117,   12,   40,  -10,  -56,   30,  471,   -1
  260,20160118,   20,   30,  -33,  -67,    0,  553,    0
  260,20160119,   17,   30,  -25,  -80,    7,  289,   -1
  260,20160120,   12,   30,   12,  -37,   53,  225,   -1
  260,20160121,   23,   50,  -12,  -43,   15,  103,    0
  260,20160122,   40,   60,    9,  -22,   57,  350,   41
  260,20160123,   30,   50,   66,   28,   90,  377,    0
  260,20160124,   41,   50,   77,   50,  104,   59,   22
  260,20160125,   35,   70,  107,   74,  146,  457,    0
  260,20160126,   64,   90,   92,   66,  111,  349,   21
  260,20160127,   77,  100,  109,   86,  124,   74,  131
  260,20160128,   40,   60,   67,   49,   90,  561,    2
  260,20160129,   86,  100,   85,   53,  100,   81,   19
  260,20160130,   56,  100,   74,   51,   99,   76,  187
  260,20160131,   38,   60,   68,   36,  108,  222,   45
  260,20160201,   81,  110,  115,  106,  119,  201,    5
  260,20160202,   66,   80,   89,   65,  114,  257,    2
  260,20160203,   40,   70,   50,   31,   70,  403,   43
  260,20160204,   22,   50,   51,   29,   77,  160,   34
  260,20160205,   41,   60,   87,   50,  109,  214,    8
  260,20160206,   51,   70,   94,   83,  106,  193,    1
  260,20160207,   65,   90,   85,   66,  111,  419,   37
  260,20160208,   93,  120,   85,   70,   99,  445,  110
  260,20160209,   37,   90,   53,   33,   82,  108,   88
  260,20160210,   35,   60,   48,   18,   83,  413,   57
  260,20160211,   24,   40,   38,  -16,   83,  573,    2
  260,20160212,   21,   40,   27,  -17,   66,  507,   -1
  260,20160213,   40,   60,   18,  -20,   44,  555,    5
  260,20160214,   44,   70,   14,    5,   26,  151,  146
  260,20160215,   40,   70,   23,  -31,   56,  654,    1
  260,20160216,   10,   30,   -3,  -50,   61,  957,    0
